"Código de radio censal","Código de departamento","Departamento","Hogares","Población","Hogares en situación de pobreza crónica","Personas en situación de pobreza crónica","% Hogares en situación de pobreza crónica","% Personas en situación de pobreza crónica","Nivel de incidencia de pobreza crónica","% Hogares con hacinamiento crítico","% Hogares en vivienda inadecuada","% Hogares con déficit en conexión a red cloacal","% Hogares con jefe con primaria completa o menos","% Hogares con jefe con nivel secundario incompleto o menos","% Niños/as de entre 6 y 17 años que no asisten a establecimientos educativos formales","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2","Geometría en GeoJSON"
"820840718","82084","Rosario",382,1198,32,180,8,15,5,1,20,28,58,70,4,"82","Santa Fe","82084","Rosario","820840718",1198,382,-32.912492,-60.691059,0.11326174573628,"{""type"":""Polygon"",""coordinates"":[[[-60.691691,-32.914287],[-60.692238,-32.914321],[-60.692640,-32.913182],[-60.692491,-32.913090],[-60.692594,-32.912784],[-60.692965,-32.911719],[-60.692488,-32.911361],[-60.692181,-32.911083],[-60.691873,-32.910840],[-60.691653,-32.910592],[-60.691298,-32.910204],[-60.691285,-32.910095],[-60.690864,-32.910185],[-60.690416,-32.910319],[-60.690724,-32.910643],[-60.689435,-32.911456],[-60.689748,-32.911798],[-60.690024,-32.912089],[-60.689359,-32.912502],[-60.689287,-32.914200],[-60.691319,-32.914264],[-60.691691,-32.914287]]]}"
"820848205","82084","Rosario",326,1060,2,19,0,1,2,0,3,0,45,67,8,"82","Santa Fe","82084","Rosario","820848205",1060,326,-32.91295,-60.730934,0.053278189118956,"{""type"":""Polygon"",""coordinates"":[[[-60.729193,-32.913601],[-60.729192,-32.913630],[-60.729492,-32.913616],[-60.729828,-32.913652],[-60.730155,-32.913639],[-60.731694,-32.913682],[-60.732885,-32.913710],[-60.732929,-32.912483],[-60.730572,-32.912415],[-60.730591,-32.911961],[-60.729282,-32.911946],[-60.729263,-32.912400],[-60.729229,-32.912916],[-60.729210,-32.913109],[-60.729193,-32.913601]]]}"
"820848208","82084","Rosario",468,1656,35,207,7,12,4,1,13,47,56,76,6,"82","Santa Fe","82084","Rosario","820848208",1657,468,-32.914543,-60.734028,0.09917124724835,"{""type"":""Polygon"",""coordinates"":[[[-60.734006,-32.916574],[-60.735128,-32.916595],[-60.735152,-32.916060],[-60.735189,-32.914720],[-60.735266,-32.913149],[-60.735286,-32.912542],[-60.732929,-32.912483],[-60.732885,-32.913710],[-60.732815,-32.915430],[-60.732796,-32.915794],[-60.732770,-32.916545],[-60.734006,-32.916574]]]}"
"820840719","82084","Rosario",269,702,0,0,0,0,1,0,0,0,24,34,2,"82","Santa Fe","82084","Rosario","820840719",703,269,-32.912638,-60.688271,0.077830582049398,"{""type"":""Polygon"",""coordinates"":[[[-60.687540,-32.911074],[-60.687141,-32.912394],[-60.686974,-32.913093],[-60.686613,-32.914122],[-60.687239,-32.914144],[-60.689287,-32.914200],[-60.689359,-32.912502],[-60.690024,-32.912089],[-60.689748,-32.911798],[-60.689435,-32.911456],[-60.689156,-32.911130],[-60.688853,-32.910793],[-60.688077,-32.911277],[-60.688275,-32.910651],[-60.687540,-32.911074]]]}"
"820848209","82084","Rosario",579,2171,116,633,20,29,6,4,44,81,64,80,7,"82","Santa Fe","82084","Rosario","820848209",2176,579,-32.914861,-60.74233,0.2503367678999,"{""type"":""Polygon"",""coordinates"":[[[-60.735234,-32.913773],[-60.735189,-32.914720],[-60.735167,-32.915494],[-60.736355,-32.915526],[-60.737516,-32.915570],[-60.738397,-32.915599],[-60.739428,-32.915620],[-60.740835,-32.915656],[-60.742856,-32.915715],[-60.744385,-32.915752],[-60.745571,-32.915789],[-60.747105,-32.915822],[-60.747460,-32.915832],[-60.747475,-32.915347],[-60.749138,-32.915376],[-60.749122,-32.915875],[-60.749780,-32.915934],[-60.750157,-32.915914],[-60.751277,-32.915934],[-60.749185,-32.914451],[-60.746659,-32.914219],[-60.744427,-32.913963],[-60.741632,-32.914002],[-60.739575,-32.913992],[-60.738147,-32.913783],[-60.737837,-32.913838],[-60.737579,-32.913827],[-60.735234,-32.913773]]]}"
"820840803","82084","Rosario",303,790,0,0,0,0,1,0,0,0,18,28,3,"82","Santa Fe","82084","Rosario","820840803",923,303,-32.913629,-60.679688,0.10725237365168,"{""type"":""Polygon"",""coordinates"":[[[-60.679526,-32.911835],[-60.679221,-32.911930],[-60.678875,-32.912064],[-60.678587,-32.912146],[-60.678245,-32.912199],[-60.677946,-32.912200],[-60.677845,-32.914959],[-60.679101,-32.915003],[-60.679655,-32.915027],[-60.680360,-32.915048],[-60.681634,-32.915075],[-60.681650,-32.914540],[-60.681685,-32.913993],[-60.681747,-32.912929],[-60.680452,-32.912892],[-60.680488,-32.912124],[-60.680327,-32.911964],[-60.680037,-32.911852],[-60.679749,-32.911854],[-60.679526,-32.911835]]]}"
"820841006","82084","Rosario",496,1795,74,420,14,23,5,4,40,90,71,84,10,"82","Santa Fe","82084","Rosario","820841006",1795,496,-32.915302,-60.718792,0.11481206979806,"{""type"":""Polygon"",""coordinates"":[[[-60.723190,-32.916288],[-60.723247,-32.915179],[-60.720460,-32.915106],[-60.718873,-32.915061],[-60.718274,-32.915040],[-60.717962,-32.915036],[-60.717632,-32.915022],[-60.717663,-32.914407],[-60.717686,-32.913845],[-60.717706,-32.913603],[-60.715786,-32.913539],[-60.715774,-32.913836],[-60.715757,-32.914434],[-60.715746,-32.914978],[-60.715711,-32.916093],[-60.719465,-32.916189],[-60.722560,-32.916275],[-60.723190,-32.916288]]]}"
"820840804","82084","Rosario",304,771,1,5,0,0,1,0,0,4,21,33,0,"82","Santa Fe","82084","Rosario","820840804",794,304,-32.913406,-60.682886,0.080525371294874,"{""type"":""Polygon"",""coordinates"":[[[-60.681411,-32.912194],[-60.681191,-32.912235],[-60.680863,-32.912234],[-60.680634,-32.912220],[-60.680488,-32.912124],[-60.680452,-32.912892],[-60.681747,-32.912929],[-60.681685,-32.913993],[-60.681650,-32.914540],[-60.681634,-32.915075],[-60.682244,-32.915088],[-60.682897,-32.915107],[-60.682913,-32.914563],[-60.682924,-32.914023],[-60.683582,-32.914038],[-60.685058,-32.914078],[-60.686256,-32.914165],[-60.685290,-32.913625],[-60.684541,-32.912994],[-60.684246,-32.912797],[-60.683929,-32.912567],[-60.683469,-32.912368],[-60.683333,-32.912317],[-60.682814,-32.912173],[-60.682449,-32.912113],[-60.681974,-32.912115],[-60.681590,-32.912162],[-60.681411,-32.912194]]]}"
"820841002","82084","Rosario",513,1774,95,490,18,27,6,4,42,91,73,87,13,"82","Santa Fe","82084","Rosario","820841002",1774,513,-32.914029,-60.707307,0.079083868545984,"{""type"":""Polygon"",""coordinates"":[[[-60.709921,-32.914803],[-60.709945,-32.914804],[-60.710006,-32.913380],[-60.709233,-32.913369],[-60.708376,-32.913342],[-60.708216,-32.913340],[-60.706437,-32.913287],[-60.704689,-32.913249],[-60.704659,-32.913580],[-60.704651,-32.913805],[-60.704612,-32.914357],[-60.704599,-32.914667],[-60.704865,-32.914678],[-60.706357,-32.914719],[-60.708147,-32.914764],[-60.708565,-32.914781],[-60.709921,-32.914803]]]}"
"820841003","82084","Rosario",225,768,19,115,8,14,4,2,9,98,58,75,13,"82","Santa Fe","82084","Rosario","820841003",768,225,-32.915054,-60.69832,0.10500364935475,"{""type"":""Polygon"",""coordinates"":[[[-60.697091,-32.914489],[-60.695966,-32.915470],[-60.696240,-32.915482],[-60.696485,-32.915533],[-60.695923,-32.916004],[-60.695479,-32.916561],[-60.697200,-32.916612],[-60.698976,-32.916669],[-60.698982,-32.916116],[-60.699014,-32.915582],[-60.699037,-32.915070],[-60.701036,-32.915092],[-60.701052,-32.914557],[-60.701075,-32.913950],[-60.699070,-32.913892],[-60.699072,-32.913581],[-60.699228,-32.913475],[-60.699561,-32.913080],[-60.699426,-32.913016],[-60.699153,-32.912982],[-60.698872,-32.912965],[-60.698266,-32.913453],[-60.697814,-32.913879],[-60.697091,-32.914489]]]}"
